Marque,Nom,Référence,Condition,Boîte,Papiers,Prix
OMEGA,Speedmaster Date,3513.50.00,Excellent,Yes,Yes,"$2,900"
Cartier,Roadster,W62002V3,Excellent,No,No,"$3,300"
Rolex,Explorer,114270,Excellent,No,No,"$6,400"
Tudor,Heritage Black Bay Fifty-Eight,79030,Excellent,Yes,Yes,"$3,700"
Cartier,Calibre de Cartier Diver,W7100057,Excellent,No,No,"$6,400"
Cartier,Calibre de Cartier Diver,W7100057,Excellent,Yes,Yes,"$6,550"
Grand Seiko,Elegance Spring Drive,SBGE271,Excellent,Yes,Yes,"$5,100"
Tudor,Black Bay Pro,79470,Excellent,Yes,Yes,"$3,900"
Grand Seiko,Heritage Spring Drive,SBGA283,Excellent,Yes,Yes,"$3,700"
Breitling,SuperOcean II,M17368,Excellent,Yes,Yes,"$3,600"
Cartier,Tank Solo,W5200013,Excellent,No,No,"$3,500"
OMEGA,Speedmaster Day-Date,3220.50.00,Excellent,No,No,"$3,500"
OMEGA,Speedmaster Moonwatch,311.33.40.30.02.001,Excellent,Yes,Yes,"$9,050"
Cartier,Ballon Bleu,WSBB0049,Excellent,Yes,Yes,"$5,850"
Grand Seiko,Heritage Quartz,SBGP017,Excellent,Yes,Yes,"$4,400"
OMEGA,Speedmaster Date,323.30.40.40.06.001,Excellent,No,No,"$3,600"
Tudor,Pelagos,25600,Excellent,Yes,Yes,"$4,300"
OMEGA,Seamaster Planet Ocean,215.32.46.51.01.001,Excellent,No,No,"$5,800"
OMEGA,Speedmaster Racing,326.30.40.50.01.001,Excellent,No,No,"$3,600"
Panerai,Submersible,PAM 973,Excellent,No,No,"$7,300"
A. Lange & Sohne,Saxonia,219.026,Excellent,Yes,Yes,"$15,525"
IWC,Pilot,IW3240-10,Excellent,Yes,Yes,"$4,550"
OMEGA,Seamaster Planet Ocean,215.30.44.21.01.001,Excellent,Yes,Yes,"$5,100"
IWC,Pilot Spitfire,IW3268-03,Excellent,Yes,Yes,"$4,450"
Grand Seiko,Heritage Spring Drive,SBGA211,Excellent,Yes,Yes,"$5,100"
Bell & Ross,Marine Diver,BR 02-20,Excellent,Yes,Yes,"$2,600"
Grand Seiko,Heritage Spring Drive,SBGA375,Excellent,Yes,Yes,"$4,400"
Jaeger-LeCoultre,Master Ultra Thin,Q1232510,Excellent,Yes,Yes,"$16,000"
OMEGA,Speedmaster Reduced,3510.61.00,Excellent,No,No,"$3,600"
OMEGA,Seamaster 300M,2221.80.00,Excellent,Yes,Yes,"$3,600"
Cartier,Tank Francaise,W51011Q3,Excellent,No,No,"$3,300"
Jaeger-LeCoultre,Master Control,Q151812A,Excellent,No,No,"$7,450"
Grand Seiko,Elegance Manual Wind,SBGK005,Excellent,Yes,Yes,"$8,100"
Breitling,SuperOcean,A17366,Excellent,No,No,"$3,400"
Rolex,Datejust,126333,Excellent,Yes,Yes,"$15,800"
Rolex,Explorer,214270,Excellent,No,No,"$10,000"
Tudor,Heritage Black Bay GMT,79830,Excellent,Yes,Yes,"$3,700"
Breitling,Aviator Super 8,EB2040,Excellent,Yes,Yes,"$4,000"
Cartier,Tank Solo,WSTA0029,Excellent,Yes,Yes,"$4,600"
OMEGA,Speedmaster Reduced,3510.12.00,Excellent,No,No,"$3,500"
OMEGA,Seamaster Aqua Terra,231.10.39.21.03.001,Excellent,Yes,Yes,"$6,950"
OMEGA,Speedmaster Mark II,327.10.43.50.01.001,Excellent,Yes,Yes,"$4,300"
OMEGA,Seamaster Planet Ocean,232.32.46.21.01.005,Excellent,Yes,Yes,"$4,900"
Tudor,Heritage Black Bay,79363,Excellent,Yes,Yes,"$5,050"
Grand Seiko,Elegance Spring Drive,SBGE271,Excellent,Yes,Yes,"$4,800"
